,word,synonyms,category,definition
188,gorilla,,mammal,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
189,chimpanzee,Pan_troglodytes,mammal,intelligent somewhat arboreal ape of equatorial African forests
190,monkey,,mammal,any of various long-tailed primates (excluding the prosimians)
191,elephant,,mammal,five-toed pachyderm
192,mammoth,,mammal,any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
193,racoon,racoon,mammal,an omnivorous nocturnal mammal native to North America and Central America
194,panda,red_panda bear_cat cat_bear Ailurus_fulgens,mammal,reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas
195,panda,panda_bear coon_bear Ailuropoda_melanoleuca,mammal,large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
196,cod,,fish,major food fish of Arctic and cold-temperate waters
197,haddock,Melanogrammus_aeglefinus,fish,important food fish on both sides of the Atlantic; related to cod but usually smaller
198,eel,,fish,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins
199,salmon,,fish,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
200,trout,,fish,any of various game and food fishes of cool fresh waters mostly smaller than typical salmons
201,perch,,fish,any of numerous spiny-finned fishes of various families of the order Perciformes
202,pike,,fish,any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere
203,dolphin,mahimahi,fish,large slender food and game fish widely distributed in warm seas (especially around Hawaii)
204,piranha,pirana caribe,fish,small voraciously carnivorous freshwater fishes of South America that attack and destroy living animals
205,plaice,Pleuronectes_platessa,fish,large European food fish
206,halibut,holibut,fish,marine food fish of the northern Atlantic or northern Pacific; the largest flatfish and one of the largest teleost fishes
